Student_ID,Age,Gender,Math_Marks,Science_Marks,English_Marks,Attendance_Percent,Study_Hours,Average_Marks
1,24,F,75.0,42.0,49.0,83.0,3.35,55.33
2,21,M,72.0,57.0,73.0,74.0,5.0,67.33
3,22,M,43.0,80.0,81.0,78.27,1.5,68.0
4,24,F,72.0,46.0,82.0,76.0,1.8,66.67
5,20,F,53.0,63.0,63.0,64.0,4.0,59.67
6,22,F,0.0,70.0,52.0,88.0,5.5,40.67
7,22,F,87.0,96.0,92.0,63.0,2.2,91.67
8,24,F,59.0,0.0,89.0,69.0,3.7,49.33
9,19,F,95.0,53.0,45.0,76.0,4.3,64.33
10,20,F,47.0,67.0,66.0,69.0,3.0,60.0
11,24,F,46.0,57.0,61.0,76.0,4.4,54.67
12,20,M,42.0,92.0,51.0,79.0,5.4,61.67
13,20,F,56.0,78.0,69.0,83.0,3.9,67.67
14,22,F,72.0,63.0,89.0,64.0,3.35,74.67
15,21,M,87.0,70.0,48.0,93.0,2.9,68.33
16,20,F,51.0,0.0,0.0,78.27,3.35,17.0
17,23,M,98.0,69.0,50.0,61.0,2.5,72.33
18,22,M,90.0,46.0,75.0,72.0,2.7,70.33
19,19,F,61.0,88.0,63.0,70.0,3.4,70.67
20,21,M,94.0,90.0,88.0,82.0,3.35,90.67
21,23,M,61.0,0.0,83.0,75.0,1.8,48.0
22,23,M,85.0,87.0,71.0,90.0,3.5,81.0
23,19,M,69.0,93.0,54.0,70.0,2.9,72.0
24,21,F,77.0,46.0,70.0,75.0,2.3,64.33
25,22,M,77.0,53.0,63.0,67.0,4.5,64.33
26,18,F,84.0,0.0,83.0,63.0,4.3,55.67
27,21,M,90.0,67.0,47.0,99.0,1.4,68.0
28,19,M,0.0,67.0,89.0,63.0,3.35,52.0
29,23,M,47.0,89.0,57.0,84.0,3.35,64.33
30,22,M,66.0,62.0,94.0,62.0,4.6,74.0
31,21,F,66.0,80.0,0.0,91.0,3.7,48.67
32,18,F,73.0,77.0,64.0,78.27,6.0,71.33
33,18,M,60.0,74.0,72.0,86.0,4.6,68.67
34,20,M,69.0,71.0,0.0,88.0,4.4,46.67
35,20,F,72.0,78.0,85.0,91.0,4.8,78.33
36,24,M,67.0,64.0,83.0,78.27,1.3,71.33
37,19,M,86.0,51.0,45.0,80.0,1.6,60.67
38,21,M,0.0,95.0,47.0,64.0,4.4,47.33
39,21,F,44.0,46.0,57.0,77.0,3.2,49.0
40,24,F,99.0,77.0,72.0,87.0,4.7,82.67
41,23,F,87.0,75.0,93.0,81.0,1.1,85.0
42,23,M,58.0,93.0,69.0,80.0,3.5,73.33
43,24,M,43.0,72.0,77.0,65.0,2.6,64.0
44,23,F,74.0,51.0,82.0,60.0,3.0,69.0
45,20,F,88.0,60.0,50.0,64.0,3.8,66.0
46,21,F,56.0,73.0,88.0,71.0,3.3,72.33
47,24,F,83.0,42.0,89.0,85.0,3.5,71.33
48,21,M,67.0,97.0,76.0,93.0,3.2,80.0
49,18,F,69.0,46.0,89.0,73.0,2.7,68.0
50,20,M,0.0,86.0,91.0,85.0,4.7,59.0
51,22,F,85.0,0.0,65.0,86.0,0.6,50.0
52,20,M,0.0,57.0,60.0,68.0,3.8,39.0
53,24,F,45.0,65.0,65.0,85.0,3.6,58.33
54,22,F,74.0,57.0,55.0,81.0,4.4,62.0
55,18,F,99.0,0.0,81.0,89.0,3.8,60.0
56,24,F,80.0,43.0,80.0,76.0,5.0,67.67
57,19,M,76.0,90.0,0.0,85.0,5.8,55.33
58,21,F,63.0,69.0,63.0,78.27,3.35,65.0
59,18,M,68.0,73.0,64.0,60.0,1.8,68.33
60,21,M,88.0,68.0,62.0,67.0,2.8,72.67
61,23,M,85.0,61.0,91.0,94.0,3.35,79.0
62,19,M,92.0,65.0,85.0,74.0,3.9,80.67
63,19,F,70.0,53.0,93.0,81.0,3.35,72.0
64,18,M,74.0,91.0,58.0,73.0,1.3,74.33
65,19,M,99.0,0.0,59.0,85.0,1.1,52.67
66,22,M,72.0,74.0,75.0,87.0,1.9,73.67
67,19,F,0.0,74.0,45.0,82.0,4.5,39.67
68,21,F,60.0,92.0,47.0,73.0,3.8,66.33
69,21,F,71.0,84.0,60.0,83.0,1.1,71.67
70,24,F,62.0,78.0,67.0,61.0,5.6,69.0
71,21,M,72.0,53.0,55.0,78.27,4.8,60.0
72,24,M,42.0,44.0,56.0,78.27,0.6,47.33
73,21,F,57.0,42.0,54.0,78.27,4.1,51.0
74,22,M,64.0,74.0,76.0,62.0,4.7,71.33
75,24,M,81.0,0.0,60.0,82.0,2.6,47.0
