Student_ID,Age,Gender,Math_Marks,Science_Marks,English_Marks,Attendance_Percent,Study_Hours
1,24,F,75.0,42.0,49.0,83.0,
2,21,M,72.0,57.0,73.0,74.0,5.0
3,22,M,43.0,80.0,81.0,,1.5
4,24,F,72.0,46.0,82.0,76.0,1.8
5,20,F,53.0,63.0,63.0,64.0,4.0
6,22,F,,70.0,52.0,88.0,5.5
7,22,F,87.0,96.0,92.0,63.0,2.2
8,24,F,59.0,,89.0,69.0,3.7
9,19,F,95.0,53.0,45.0,76.0,4.3
10,20,F,47.0,67.0,66.0,69.0,3.0
11,24,F,46.0,57.0,61.0,76.0,4.4
12,20,M,42.0,92.0,51.0,79.0,5.4
13,20,F,56.0,78.0,69.0,83.0,3.9
14,22,F,72.0,63.0,89.0,64.0,
15,21,M,87.0,70.0,48.0,93.0,2.9
16,20,F,51.0,,,,
17,23,M,98.0,69.0,50.0,61.0,2.5
18,22,M,90.0,46.0,75.0,72.0,2.7
19,19,F,61.0,88.0,63.0,70.0,3.4
20,21,M,94.0,90.0,88.0,82.0,
21,23,M,61.0,,83.0,75.0,1.8
22,23,M,85.0,87.0,71.0,90.0,3.5
23,19,M,69.0,93.0,54.0,70.0,2.9
24,21,F,77.0,46.0,70.0,75.0,2.3
25,22,M,77.0,53.0,63.0,67.0,4.5
26,18,F,84.0,,83.0,63.0,4.3
27,21,M,90.0,67.0,47.0,99.0,1.4
28,19,M,,67.0,89.0,63.0,
29,23,M,47.0,89.0,57.0,84.0,
30,22,M,66.0,62.0,94.0,62.0,4.6
31,21,F,66.0,80.0,,91.0,3.7
32,18,F,73.0,77.0,64.0,,6.0
33,18,M,60.0,74.0,72.0,86.0,4.6
34,20,M,69.0,71.0,,88.0,4.4
35,20,F,72.0,78.0,85.0,91.0,4.8
36,24,M,67.0,64.0,83.0,,1.3
37,19,M,86.0,51.0,45.0,80.0,1.6
38,21,M,,95.0,47.0,64.0,4.4
39,21,F,44.0,46.0,57.0,77.0,3.2
40,24,F,99.0,77.0,72.0,87.0,4.7
41,23,F,87.0,75.0,93.0,81.0,1.1
42,23,M,58.0,93.0,69.0,80.0,3.5
43,24,M,43.0,72.0,77.0,65.0,2.6
44,23,F,74.0,51.0,82.0,60.0,3.0
45,20,F,88.0,60.0,50.0,64.0,3.8
46,21,F,56.0,73.0,88.0,71.0,3.3
47,24,F,83.0,42.0,89.0,85.0,3.5
48,21,M,67.0,97.0,76.0,93.0,3.2
